checkpoint,cv_mean,cv_std
500,0.7454000000000001,0.00373363094051887
1000,0.7451000000000001,0.009976973488989517
1500,0.7353,0.012294714311442958
2500,0.7522,0.0055821142947811144
5000,0.7474000000000001,0.00215406592285379
7500,0.7485999999999999,0.007552483035399649
10000,0.7499,0.008070935509592403
20000,0.7504000000000001,0.008896066546513674
