,0,5,15,30,50
0,0.9964333333333333,0.43401666666666666,0.19075,0.13375,0.12823333333333334
20000,0.9995166666666667,,0.5439166666666667,0.41081666666666666,0.30635
40000,0.9998333333333334,,0.54605,0.4114833333333333,0.3077
60000,0.9997333333333334,0.7006,0.5482833333333333,0.4151,0.3159
