,0
neuron_0_count,0.3902266841416306
neuron_1_count,0.3326401332798903
neuron_2_count,0.5183051775113584
neuron_3_count,0.2742906689474361
neuron_4_count,0.3074084110769325
neuron_5_count,0.3798840452132891
neuron_6_count,0.27560826586601794
neuron_7_count,0.4135453990222516
neuron_8_count,0.7207656825368736
neuron_9_count,0.7762576682827457
neuron_10_count,0.6807675867937195
neuron_11_count,0.7581639854059781
neuron_12_count,0.424746401278548
neuron_13_count,0.5189540901069156
neuron_14_count,0.5311213368326836
neuron_15_count,0.4459681292011254
neuron_16_count,0.2813774206677374
neuron_17_count,0.27201671734612287
neuron_18_count,0.5865396351774519
neuron_19_count,0.3279695456112257
neuron_20_count,0.3430740600557162
neuron_21_count,0.2451149501565735
neuron_22_count,0.32630543110315097
neuron_23_count,0.3723708660413848
neuron_24_count,0.2927030544017915
neuron_25_count,0.3206105971591482
neuron_26_count,0.22700878842900973
neuron_27_count,0.2073390176461007
neuron_28_count,0.14173197923962855
neuron_29_count,0.26944404175002384
neuron_30_count,0.32418083778575996
neuron_31_count,0.2116822400071272
neuron_32_count,0.2046059368274413
neuron_33_count,0.27753698822185374
neuron_34_count,0.3264638476700497
neuron_35_count,0.2743099534868644
neuron_36_count,0.259549559536154
neuron_37_count,0.2938483201993146
neuron_38_count,0.3294093787078748
neuron_39_count,0.37366441697841274
neuron_40_count,0.3147357401855111
neuron_41_count,0.24588237608038027
neuron_42_count,0.322887070625618
neuron_43_count,0.4128005198420187
neuron_44_count,0.3074791235051009
neuron_45_count,0.28952501958051685
neuron_46_count,0.3147348072488604
neuron_47_count,0.08028928217575634
neuron_48_count,0.27592290672985975
neuron_49_count,0.18756473808982105
neuron_50_count,0.4477721473802252
neuron_51_count,0.354877636332822
neuron_52_count,0.2736027804992196
neuron_53_count,0.10953966814947025
neuron_54_count,0.2450593941071934
neuron_55_count,0.20684567522222136
neuron_56_count,0.17532286776485506
neuron_57_count,0.12481560918339218
neuron_58_count,0.2210947794440469
neuron_59_count,0.084396922179335
neuron_60_count,0.04187122222802006
neuron_61_count,0.034113035045517034
neuron_62_count,0.03248635719045269
neuron_63_count,0.11484235190108638
neuron_64_count,0.5252576157147513
neuron_65_count,0.44980600958332384
neuron_66_count,0.3057217284639723
neuron_67_count,0.4003465067999973
neuron_68_count,0.24518672392976565
neuron_69_count,0.36765370192268665
neuron_70_count,0.5308925493926091
neuron_71_count,0.35633632975886564
neuron_72_count,0.46284979742458837
neuron_73_count,0.8594706321572588
neuron_74_count,0.8295844475377215
neuron_75_count,0.7676883744437728
neuron_76_count,0.5277762854963457
neuron_77_count,0.36708762273530915
neuron_78_count,0.4148267572270772
neuron_79_count,0.40984877114729396
neuron_80_count,0.6395319582101321
neuron_81_count,0.3989728782700175
neuron_82_count,0.34272019944977605
neuron_83_count,0.30382089820103303
neuron_84_count,0.5834392493195759
neuron_85_count,0.15034487308196545
neuron_86_count,0.23497276042641924
neuron_87_count,0.3400851708486813
neuron_88_count,0.4772100187748315
neuron_89_count,0.37543283805091066
neuron_90_count,0.263823044453638
neuron_91_count,0.2648653945056004
neuron_92_count,0.25373015735240606
neuron_93_count,0.31380805471483453
neuron_94_count,0.28482113487862154
neuron_95_count,0.36267713231347126
neuron_96_count,0.23134735924353111
neuron_97_count,0.39479860373537384
neuron_98_count,0.22175685413546717
neuron_99_count,0.23921731237372748
neuron_100_count,0.4460842173299111
neuron_101_count,0.36415526807947923
neuron_102_count,0.30484937353161373
neuron_103_count,0.3199315397457369
neuron_104_count,0.35733425863614315
neuron_105_count,0.30658363497201446
neuron_106_count,0.2796987416729703
neuron_107_count,0.14229768175435728
neuron_108_count,0.33639954348367246
neuron_109_count,0.3483616660928586
neuron_110_count,0.3350835401136398
neuron_111_count,0.2378041787509327
neuron_112_count,0.37617586509507317
neuron_113_count,0.1676871355059265
neuron_114_count,0.3476098695737847
neuron_115_count,0.1121537283879041
neuron_116_count,0.12998879637644103
neuron_117_count,0.11592993306127147
neuron_118_count,0.19559949269927338
neuron_119_count,0.07276042046078848
neuron_120_count,0.19110983794717915
neuron_121_count,0.10373714870263559
neuron_122_count,0.13974359312057397
neuron_123_count,0.06096173717727414
neuron_124_count,0.10808130394201038
neuron_125_count,0.1815687933918504
neuron_126_count,0.08154087983972064
neuron_127_count,0.10596870475179226
neuron_128_count,0.4157582534420342
neuron_129_count,0.5302381416176064
neuron_130_count,0.6986552732728166
neuron_131_count,0.35263436346545296
neuron_132_count,0.34203698636896934
neuron_133_count,0.5686352106512499
neuron_134_count,0.7277572637313284
neuron_135_count,0.8609708795173986
neuron_136_count,0.47150671015333756
neuron_137_count,0.7215686518686346
neuron_138_count,0.6876407910796739
neuron_139_count,0.5783479995825012
neuron_140_count,0.5771772820688926
neuron_141_count,0.5993956584890958
neuron_142_count,0.44266160327589815
neuron_143_count,0.5197580752646281
neuron_144_count,0.28991983689566925
neuron_145_count,0.3709225324870157
neuron_146_count,0.3364741611741754
neuron_147_count,0.4520476808524005
neuron_148_count,0.09496371594221946
neuron_149_count,0.3275896395240504
neuron_150_count,0.2999234415225942
neuron_151_count,0.3862983346141252
neuron_152_count,0.2551906139488187
neuron_153_count,0.2116618740024837
neuron_154_count,0.2852946720624937
neuron_155_count,0.22653067060344315
neuron_156_count,0.24293669195774742
neuron_157_count,0.30008217104167234
neuron_158_count,0.21154287839577687
neuron_159_count,0.3723392110922437
neuron_160_count,0.3103619307549833
neuron_161_count,0.19408140052412848
neuron_162_count,0.38186975504989534
neuron_163_count,0.339303418797053
neuron_164_count,0.37787054235772616
neuron_165_count,0.3839016823591671
neuron_166_count,0.23669354903807818
neuron_167_count,0.35467879172106254
neuron_168_count,0.28893133198759935
neuron_169_count,0.34988997574453307
neuron_170_count,0.2784111083807401
neuron_171_count,0.31494357597904743
neuron_172_count,0.21100759225980523
