,0,1,2,3,4,5,6,7,8,9
neuron_0_count,0.037440504270666655,0.45853684082366497,0.0758926964445979,0.18754031673961333,0.01076594109007677,0.012942832928760861,0.0234717834618364,0.1277459361603634,0.026321051958145995,0.07986091439646661
neuron_1_count,0.02766733837806816,0.3653768653637959,0.08151827175753815,0.18958033104360403,0.028406288445975023,0.0024371651873934495,0.014954356056276479,0.04720301433665158,0.02324813835029769,0.08609421648532116
neuron_2_count,0.025767167909541304,0.47843900030507464,0.0538915361630426,0.15641360178209715,0.012205046232642184,0.002120846553311642,0.0153450795491617,0.10481069088801423,0.015309144916325033,0.06818011887526643
neuron_3_count,0.02932236495750741,0.28237646230443425,0.05666758132410635,0.1545149417289828,0.0006638932657548769,0.0030444687730235218,0.010666910489340778,0.05789684771176842,0.011628519283410854,0.03693691417249022
neuron_4_count,0.011894713208349249,0.35537440171473644,0.1793619192254402,0.2960121998691172,0.009417957802806423,0.007967737911559448,0.007086829434905323,0.0256275855262913,0.014990944961016139,0.12256532922729232
neuron_5_count,0.018808213710274024,0.4507771219410548,0.04384866020992929,0.12831743261235243,0.001976364973346488,0.0019352895893906055,0.0052734933542604445,0.09015306419914954,0.02068005741376442,0.029686663476360536
neuron_6_count,0.003424954993159115,0.18559644219619403,0.030178938874809158,0.13344736864046214,0.0009457108891687532,0.004905889410196814,0.00828558610957774,0.017620098889655524,0.0017334197193580314,0.03132159991310512
neuron_7_count,0.02529348258465501,0.43145173938611864,0.14230484925121284,0.23200048400986129,0.01463179745080219,0.001100400256333109,0.005340077646637659,0.041691970234164225,0.011829700445906971,0.10492794417460982
neuron_8_count,0.0511541568144041,0.7649632015756929,0.10955619343459394,0.2682824670296842,0.024517055809816023,0.005792145692324675,0.018421940365087028,0.08698958129640308,0.036854217117348195,0.11969890890216145
neuron_9_count,0.046647040715843316,0.8251329535987628,0.11364447609780184,0.255244205154173,0.010563772995943993,0.0022495848255537146,0.012698197042388518,0.1087409780267883,0.03589264243026091,0.07566356584642085
neuron_10_count,0.03570147185410174,0.7297478996804387,0.10296732533282514,0.24033704523769756,0.0019788977707640154,0.0015082647414591845,0.006100412963788035,0.085909004223547,0.04028657473370711,0.05175904417393146
neuron_11_count,0.049871684777063344,0.6583247746469331,0.18663753397821625,0.3663763388049558,0.03532437535960389,0.011199036725672865,0.00683010982321209,0.061485503360044505,0.03480025321696728,0.14725506746517067
neuron_12_count,0.008313540790302366,0.3318418030302987,0.03649666796008936,0.14389376617843952,0.006712443025993969,0.003478775398522753,0.007096645000008681,0.008239134730373304,0.029212938809915157,0.01571509810136432
neuron_13_count,0.03931842858034337,0.453185125873502,0.25337512346450997,0.3664137605381218,0.09139447061739853,0.01572154078934905,0.00887991263975671,0.05242418502408987,0.02317950194837083,0.21329506051921124
neuron_14_count,0.026385778729415756,0.4889394712589139,0.22217403412037157,0.34968012845750107,0.06184237298505307,0.016081034280051434,0.0017986287910848643,0.03800595812752177,0.020784697436886553,0.1725793428143596
neuron_15_count,0.017546773535165858,0.27060141251879577,0.30444461465437145,0.3767572859137564,0.09293429420740071,0.008540708976867109,0.005763606470633748,0.10522273330773138,0.029712109833384653,0.15525369455407798
neuron_16_count,0.0342177334086998,0.3020125175584053,0.09620838735586093,0.134544718645393,0.004978540502160372,0.009086203983602516,0.0018495039020225926,0.02622211688256608,0.029574630783377194,0.02413507152400629
neuron_17_count,0.012128919884479446,0.23668921646768293,0.10684787631229306,0.1423632342777865,0.011580021450266181,0.024686782721615678,0.01404165703912088,0.018665253518591954,0.018371230008826844,0.02548658854860983
neuron_18_count,0.035233834366393865,0.5340255270062493,0.24483831178878607,0.24053650064757387,0.11130634748102275,0.016432693469742424,0.0065898984998101345,0.025905522440274494,0.062294773259391534,0.10572008732800858
neuron_19_count,0.03330037124282881,0.3966194921049306,0.1697948112699912,0.15976655494705166,0.07550037092526629,0.007451418563117231,0.010889459535071698,0.03802317940603063,0.0434196746081886,0.04109555070011761
neuron_20_count,0.03867708934815679,0.33324212223011407,0.29696800301542087,0.375351920488225,0.1396194181983756,0.016809520304624515,0.017363169320863486,0.13297720335468946,0.03836885279756019,0.1461920838698149
neuron_21_count,0.029549943485755875,0.23294710289946932,0.23895588271183088,0.18189928408061815,0.14749013903211594,0.03319114489715583,0.015299671584171882,0.05846041150480352,0.06116379597948848,0.07633636337482616
neuron_22_count,0.03177657909839504,0.17998765300081357,0.33064643038069125,0.35510892334131006,0.19239210956359362,0.02539295254109003,0.025364352638835658,0.137144097154489,0.026433230775805172,0.17554985260499414
neuron_23_count,0.030858442669265435,0.3225682715266469,0.2252500507091983,0.1994483646143719,0.15734671021090593,0.011459760297510405,0.019061943916839005,0.09855277826791889,0.05298210927842373,0.10682647841197782
neuron_24_count,0.04607113315597852,0.2218192267813339,0.2565172698227172,0.27886892872497465,0.17691768824727122,0.012379348396275622,0.009600711899163138,0.11411187519498778,0.0503948291591876,0.1456491642476629
neuron_25_count,0.05109537409990883,0.2882573582726528,0.24721577138484496,0.26623890412830786,0.21435346514362627,0.015394400207493844,0.008227246590841734,0.0716881328945135,0.054717795997136415,0.11868944410421903
