checkpoint,noise_level,mean_max_spec_info,std_max_spec_info,median_max_spec_info,max_spec_info,n_neurons,n_informative_neurons
0,0,0.24607881095597467,0.3063283554293119,0.12897814267275226,1.7382595624626436,4096.0,3966.0
0,5,0.12973749750568886,0.123738627292123,0.09212448877494663,0.9576225755028541,4096.0,4052.0
0,15,0.09526021632634807,0.06332149887312002,0.0824234626910599,0.43826421867485343,4096.0,4074.0
0,30,0.09936681413545997,0.05806402427945944,0.08840167249833264,0.3791644530383402,4096.0,4078.0
0,50,0.0378753639790176,0.0268081249316943,0.03003005934022658,0.16727185130111663,4096.0,3748.0
20000,0,0.35981955661106835,0.29281629150204525,0.25495068282737554,1.6660013915316814,4096.0,4094.0
20000,5,,,,,,
20000,15,0.16010444033066296,0.18240740220485976,0.09897373493074399,1.1023004802358787,4096.0,4090.0
20000,30,0.12810249823644818,0.14425609642168458,0.07989611186924021,0.8481319228243092,4096.0,4070.0
20000,50,0.08700368206482668,0.06388725414820579,0.07439406433250031,0.4089408867321563,4096.0,3978.0
40000,0,0.35146182303278817,0.29755785247261834,0.24136997158611018,1.6493172449955862,4096.0,4090.0
40000,5,,,,,,
40000,15,0.15819823236854502,0.18891870163290825,0.09399369696856907,1.1372355087705865,4096.0,4090.0
40000,30,0.12851724206806506,0.15298278100153628,0.07660072642873983,0.8551199273957719,4096.0,4073.0
40000,50,0.08516791185156361,0.06676595521577305,0.07003402777234907,0.441197042914848,4096.0,3943.0
60000,0,0.34503094678864643,0.2993765418925349,0.24094871784368277,1.6594790580664043,4096.0,4088.0
60000,5,0.18929056469910946,0.11969273556458011,0.1667390387396342,1.0266964030512291,4096.0,4091.0
60000,15,0.15810379407003233,0.1940930652074923,0.09373965753494827,1.1207407955406496,4096.0,4081.0
60000,30,0.12778265595698868,0.14912806791177735,0.07767353471510023,0.8457701016541699,4096.0,4070.0
60000,50,0.08376655160759618,0.06646260248937447,0.06867995077560331,0.44066797818591724,4096.0,3931.0
