,0,1,2,3,4,5,6,7,8,9
neuron_0_count,0.07371494947465425,0.3784114841669605,0.009904276899744928,0.009542468345308253,0.01775040676994999,0.013358594120568223,0.017107976040340873,0.0034909663672785286,0.042049672440562305,0.0695395286629973
neuron_1_count,0.0646280547051061,0.22890293880999463,0.034038418527128786,0.0332560815657932,0.016569190172437055,0.013664869376828079,0.017391081127578853,0.0037848096295890615,0.030235949548971706,0.08692859428648222
neuron_2_count,0.0698842812142832,0.6212345840417883,0.01020017342892135,0.016700862775797756,0.011630492647076468,0.001274791061178033,0.0022089106191329824,0.04004750794554318,0.03666409452165666,0.04458112632304309
neuron_3_count,0.09794347246145393,0.535985340004224,0.01752419522903846,0.02366209340203783,0.0237368363529539,0.018785646306328327,0.016874144146650005,0.011406564235114963,0.0520041181301749,0.10616826292074066
neuron_4_count,0.05892544894785495,0.5828823398250718,0.0011695537796263394,0.004706108412007637,0.00963516792618442,0.0007737124289984888,0.001500136079186351,0.042532896908521675,0.03693688204559817,0.09700730839237773
neuron_5_count,0.06232820958785528,0.656360721135808,0.013711979967215016,0.00941929598915383,0.017268777428939598,0.004369246175816039,0.007052879142498497,0.03830923030841324,0.026257784774302344,0.05283068349420901
neuron_6_count,0.03161531798170965,0.4450129794726901,0.009792357200132294,0.0018427073920828305,0.008853647696612905,0.0021079916698625075,0.00014229081945501577,0.017882196890322305,0.015991450618777395,0.05279535922235744
neuron_7_count,0.06129807063924149,0.5135569948761343,0.014563543931433123,0.013906885397835834,0.02235587739508104,0.02048384469045117,0.018373923368686783,0.02721718039595518,0.04733499365445609,0.110444746255632
neuron_8_count,0.039506706900811275,0.49843266608131337,0.0023988203939048734,0.004877048245292339,0.015153399169296658,0.024667560061387837,0.016940997744882648,0.010595432876861904,0.029776463409137643,0.08161806399758399
neuron_9_count,0.06545366480145356,0.5842507537297887,0.004261951467846262,0.004078030157117489,0.026736352677733027,0.02411850179603226,0.018353631519614756,0.01585193261803016,0.041369832859681294,0.08590922629840658
neuron_10_count,0.042731960633001706,0.5405912969566908,0.011694062409339005,0.008118796056503098,0.009206583874701954,0.001964871769593749,4.18307546751844e-05,0.0475143353472712,0.02409037219423621,0.05430126645084442
neuron_11_count,0.08380909526736265,0.5468974157554966,0.0195810392839027,0.021979735892294558,0.028622054939660524,0.014235337563384902,0.020598488688531744,0.02532183928895694,0.037474312300294105,0.10981153688662375
neuron_12_count,0.027285266569098424,0.2852185042564461,0.023041772100230704,0.009016195747785088,0.004903201327329427,0.010455464594886336,0.0020573088969908513,0.02495543276457351,0.013597355843624499,0.02571250495565988
neuron_13_count,0.00622376713699414,0.05883732609677121,0.15061374490942206,0.12570687632677355,0.036225872631666434,0.028517507826447103,0.003614832863087912,0.024185955218981176,0.011790170013997937,0.1672219500690751
neuron_14_count,0.05864441316329223,0.5422905889611658,0.01324040348675308,0.010374784341830527,0.013322420138461688,0.007345599485858237,0.009339302999963758,0.029169623706892717,0.024229599256930898,0.09544016262080951
neuron_15_count,0.012356949955336392,0.14881005373904116,0.12098885589121874,0.10420499283990117,0.04157791919143158,0.017471890689355417,0.007279311100484687,0.08600530211736633,0.01767528243482676,0.17285874718545494
neuron_16_count,0.05900112198270791,0.5158152035572712,0.012287071777193202,0.015794280580235694,0.007416417660960331,0.003334154714062487,0.007311168538878504,0.03806907030257978,0.029970606508226534,0.030834278008772517
neuron_17_count,0.05756385424278973,0.5374194423115378,0.013721683589402067,0.020777596725680844,0.007641147123216528,0.005775222726722887,0.007179147258297925,0.049025484153324556,0.03384768902891748,0.04720364993334008
neuron_18_count,0.00758475514590147,0.011109974407056473,0.09251008254413301,0.03950484519364511,0.02834365002155835,0.010808300296053779,0.0030830963954698205,0.007576368089461716,0.0002716209569048611,0.06676700357300884
neuron_19_count,0.0015456076972030983,0.06363073935380181,0.04242830254750343,0.013888827161831957,0.026764243184423456,0.004955467999220968,0.005444913738830548,0.04212144485049339,0.00018291523326879368,0.04837459411921059
neuron_20_count,0.01330073754301836,0.1918742251272006,0.06747961981763331,0.03165725932114086,0.032484458180748646,0.013466163666657177,0.005016749914454315,0.07746434476167455,0.0136994758276811,0.10839972614879595
neuron_21_count,0.00048456853279880453,0.06280171841438809,0.05945323512223882,0.012776300126319924,0.03143488784443311,0.004530824922663639,0.005833107470676911,0.05687383183924055,0.0013654748673583416,0.060647626739334624
neuron_22_count,0.0010453346156967438,0.08713714924903407,0.05924410872670993,0.013818916964033381,0.020091203475717537,0.005225886842702084,0.0010964435533612118,0.06511070532147648,0.004864167497689545,0.0641871119474921
neuron_23_count,0.0038492083609905706,0.009869191883467777,0.11352655156794769,0.05135478853110512,0.06422400955951864,0.005831537960191119,0.0015356619808896133,0.06599898174593963,0.0001600065640493904,0.09238358800634458
neuron_24_count,0.00033625701808228346,0.06364703592156684,0.06824791553588533,0.033001318440151625,0.025320654955341693,0.0030404566656356997,0.0008004597207806382,0.08866332685233659,0.0024412649569298117,0.0941816175010761
neuron_25_count,0.00317052823252785,0.01965564881594964,0.0947339855068502,0.05197298273235704,0.06799642459203947,0.008338565317567229,0.0004292575773991933,0.05694347044457869,0.00013007203566305471,0.08039923963045328
neuron_26_count,0.009037808288182375,0.015180429060078993,0.06889861623386534,0.030663558552497097,0.07641288291607337,0.0023107604932995776,0.0023560858455189786,0.06643689779526427,0.0005732434203781292,0.07069212085002981
