,0
neuron_0_count,0.2696278472739769
neuron_1_count,0.25624143404839134
neuron_2_count,0.1796797239208674
neuron_3_count,0.24800927670008277
neuron_4_count,0.26539216617898154
neuron_5_count,0.28885288661303954
neuron_6_count,0.2882630660838034
neuron_7_count,0.2919419855395116
neuron_8_count,0.30455165450616073
neuron_9_count,0.3983916020006395
neuron_10_count,0.3177444250860604
neuron_11_count,0.28137355325002256
neuron_12_count,0.11152643717441797
neuron_13_count,0.1341261616184079
neuron_14_count,0.24568799923092755
neuron_15_count,0.14207110569078463
neuron_16_count,0.23162431882023898
neuron_17_count,0.24536406230018537
neuron_18_count,0.10117502542159601
neuron_19_count,0.062296483334972216
neuron_20_count,0.1216770431619626
neuron_21_count,0.06448617408565094
neuron_22_count,0.12970228593314062
neuron_23_count,0.09699928047378015
neuron_24_count,0.07989650129324967
neuron_25_count,0.09466010370195602
neuron_26_count,0.0687270782285424
neuron_27_count,0.07581228374599071
neuron_28_count,0.03839282658971599
neuron_29_count,0.09994216112562063
neuron_30_count,0.038975124124951535
neuron_31_count,0.07236743638948281
neuron_32_count,0.050549670916659795
neuron_33_count,0.07989572244523076
neuron_34_count,0.08690620077271188
neuron_35_count,0.09485360008872577
neuron_36_count,0.06820325365065678
neuron_37_count,0.05904345751002972
neuron_38_count,0.046028229243191915
neuron_39_count,0.09380546837790221
neuron_40_count,0.05934660882966501
neuron_41_count,0.046297167051886065
neuron_42_count,0.08970906270487317
neuron_43_count,0.1827596353304339
neuron_44_count,0.0789888988194789
neuron_45_count,0.054246688393774
neuron_46_count,0.07849221307099116
neuron_47_count,0.019045367709899827
neuron_48_count,0.10250141706184863
neuron_49_count,0.034020382811833574
neuron_50_count,0.15324521063828486
neuron_51_count,0.0575731291479807
neuron_52_count,0.05772787260345161
neuron_53_count,0.028473504700652668
neuron_54_count,0.046544946175671245
neuron_55_count,0.027824844615727026
neuron_56_count,0.03229718616472996
neuron_57_count,0.0137399765419488
neuron_58_count,0.04348407797344375
neuron_59_count,0.012642067427160147
neuron_60_count,0.02073275994103048
neuron_61_count,0.016168457084134877
neuron_62_count,0.026415694629998668
neuron_63_count,0.020621290483530827
neuron_64_count,0.21498874530698467
neuron_65_count,0.20990771902503816
neuron_66_count,0.15485442042528344
neuron_67_count,0.13086948717013505
neuron_68_count,0.150783936823768
neuron_69_count,0.12737192793623353
neuron_70_count,0.3266857843290489
neuron_71_count,0.21356823546107556
neuron_72_count,0.29052019216837494
neuron_73_count,0.3370725683240044
neuron_74_count,0.3020628916402805
neuron_75_count,0.28623791767238227
neuron_76_count,0.27751778950938116
neuron_77_count,0.15089474944435805
neuron_78_count,0.27327670734760395
neuron_79_count,0.2689027428530086
neuron_80_count,0.30897671785002373
neuron_81_count,0.26235878167848353
neuron_82_count,0.2141707023899403
neuron_83_count,0.21428426076847906
neuron_84_count,0.10283335353926597
neuron_85_count,0.10850320610633893
neuron_86_count,0.08105449302754125
neuron_87_count,0.1349243061685244
neuron_88_count,0.1034238682805842
neuron_89_count,0.11424683693044765
neuron_90_count,0.07958651725160082
neuron_91_count,0.0857712004717816
neuron_92_count,0.08749785974668915
neuron_93_count,0.10525936114545455
neuron_94_count,0.07732342561656513
neuron_95_count,0.10543060916612434
neuron_96_count,0.0830466923245424
neuron_97_count,0.09694657655472541
neuron_98_count,0.05309805886999683
neuron_99_count,0.05764181495123322
neuron_100_count,0.10618679742882339
neuron_101_count,0.10953152432979249
neuron_102_count,0.08551435831486626
neuron_103_count,0.12133793508856708
neuron_104_count,0.10635376143211452
neuron_105_count,0.04909751701832854
neuron_106_count,0.11248392889120848
neuron_107_count,0.036955697119459785
neuron_108_count,0.0805762678865812
neuron_109_count,0.08703287092799558
neuron_110_count,0.11851005728863011
neuron_111_count,0.06037302350499915
neuron_112_count,0.046267470874529815
neuron_113_count,0.08777672829236785
neuron_114_count,0.12094565968957396
neuron_115_count,0.03620911652083447
neuron_116_count,0.03802021979224743
neuron_117_count,0.02537501179550347
neuron_118_count,0.07246756968313336
neuron_119_count,0.01869801072375961
neuron_120_count,0.036322690253465933
neuron_121_count,0.013097472123854405
neuron_122_count,0.05909955688801849
neuron_123_count,0.01590947790362944
neuron_124_count,0.01620179121602175
neuron_125_count,0.02386540932785093
neuron_126_count,0.015344884306730026
neuron_127_count,0.029498486348128183
neuron_128_count,0.22224308274009008
neuron_129_count,0.29666231293739226
neuron_130_count,0.1723700470633478
neuron_131_count,0.04137710181103592
neuron_132_count,0.09741525538327708
neuron_133_count,0.39779493491733564
neuron_134_count,0.15190788269300817
neuron_135_count,0.3097737048550293
neuron_136_count,0.01165055744200338
neuron_137_count,0.3742754988224085
neuron_138_count,0.3372803110949006
neuron_139_count,0.27851383136825053
neuron_140_count,0.3576542114899962
neuron_141_count,0.2423865354024337
neuron_142_count,0.3067308014727451
neuron_143_count,0.31878924117910545
neuron_144_count,0.2919863012066712
neuron_145_count,0.2685289861217286
neuron_146_count,0.23187286844398147
neuron_147_count,0.21541419796781736
neuron_148_count,0.11508176520953162
neuron_149_count,0.16125455011702047
neuron_150_count,0.08027470677213475
neuron_151_count,0.07219791695058635
neuron_152_count,0.0954651975048956
neuron_153_count,0.08130045478688436
neuron_154_count,0.08789921074045817
neuron_155_count,0.06794260244181885
neuron_156_count,0.08757148359390413
neuron_157_count,0.07357385147995604
neuron_158_count,0.050140728065598064
neuron_159_count,0.08922089200472136
neuron_160_count,0.0620075668355472
neuron_161_count,0.04548029915350557
neuron_162_count,0.07406635834405895
neuron_163_count,0.10767502496666405
neuron_164_count,0.13661187135650654
neuron_165_count,0.11980156500899612
neuron_166_count,0.041265805342072914
neuron_167_count,0.1148809416840331
neuron_168_count,0.08117899360053445
neuron_169_count,0.0630715219021273
neuron_170_count,0.054399224885005565
neuron_171_count,0.06531589615029706
neuron_172_count,0.03870356572867638
neuron_173_count,0.031610956910100116
neuron_174_count,0.02907812137788457
neuron_175_count,0.04919955730461875
neuron_176_count,0.02290891980563245
neuron_177_count,0.034716990151826846
neuron_178_count,0.022804952987863364
neuron_179_count,0.07208290818527159
neuron_180_count,0.02261759037073095
neuron_181_count,0.04104518796855987
neuron_182_count,0.04535699474004934
neuron_183_count,0.017824494980358166
neuron_184_count,0.039188642509796354
neuron_185_count,0.041658139894152235
neuron_186_count,0.05097118164470213
neuron_187_count,0.03210625039886464
neuron_188_count,0.016563036834774697
neuron_189_count,0.04267681068462453
neuron_190_count,0.020354736600447995
